step,waiting,running,done,machines,available,status,timestamp
1,0,0,0,46,42,1,1425636332
2,0,0,0,46,42,1,1425636302
3,0,0,0,46,42,1,1425636272
4,0,0,0,46,42,1,1425636242
5,0,0,0,46,42,1,1425636211
6,0,0,0,46,42,1,1425636181
7,0,0,0,46,42,1,1425636152
8,0,0,0,46,42,1,1425636122
9,0,0,0,46,42,1,1425636092
10,0,0,0,46,42,1,1425636061
11,0,0,0,46,42,1,1425636032
12,0,0,0,46,42,1,1425636002
13,0,0,0,46,42,1,1425635972
14,0,0,0,46,42,1,1425635941
15,0,0,0,46,42,1,1425635911
16,0,0,0,46,42,1,1425635881
17,0,0,0,46,42,1,1425635852
18,0,0,0,46,42,1,1425635822
19,0,0,0,46,42,1,1425635792
20,0,0,0,46,42,1,1425635762
21,0,0,0,46,42,1,1425635732
22,0,0,0,46,42,1,1425635702
23,0,0,0,46,42,1,1425635672
24,0,0,0,46,42,1,1425635642
25,0,0,0,46,42,1,1425635612
26,0,0,0,46,42,1,1425635582
27,0,0,0,46,42,1,1425635552
28,0,0,0,46,42,1,1425635522
29,0,0,0,46,42,1,1425635492
30,0,0,0,46,42,1,1425635462
31,0,0,0,46,42,1,1425635432
32,0,0,0,46,42,1,1425635402
33,0,0,0,46,42,1,1425635372
34,0,0,0,46,42,1,1425635342
35,0,0,0,46,42,1,1425635311
36,0,0,0,46,42,1,1425635281
37,0,0,0,46,42,1,1425635252
38,0,0,0,46,42,1,1425635222
39,0,0,0,46,42,1,1425635191
40,0,0,0,46,42,1,1425635162
41,0,0,0,46,42,1,1425635132
42,0,0,0,46,42,1,1425635102
43,0,0,0,46,42,1,1425635071
44,0,0,0,46,42,1,1425635041
45,0,0,0,46,42,1,1425635012
46,0,0,0,46,42,1,1425634981
47,0,0,0,46,42,1,1425634951
48,0,0,0,46,42,1,1425634921
49,0,0,0,46,42,1,1425634891
50,0,0,0,46,42,1,1425634861
51,0,0,0,46,42,1,1425634832
52,0,0,0,46,42,1,1425634802
53,0,0,0,46,42,1,1425634772
54,0,0,0,46,42,1,1425634742
55,0,0,0,46,42,1,1425634712
56,0,0,0,46,42,1,1425634682
57,0,0,0,46,42,1,1425634651
58,0,0,0,46,42,1,1425634621
59,0,0,0,46,42,1,1425634592
60,0,0,0,46,42,1,1425634562
61,0,0,0,46,42,1,1425634532
62,0,0,0,46,42,1,1425634502
63,0,0,0,46,42,1,1425634472
64,0,0,0,46,42,1,1425634442
65,0,0,0,46,42,1,1425634412
66,0,0,0,46,42,1,1425634382
67,0,0,0,46,42,1,1425634351
68,0,0,0,46,42,1,1425634321
69,0,0,0,46,42,1,1425634292
70,0,0,0,46,42,1,1425634262
71,0,0,0,46,42,1,1425634232
72,0,0,0,46,42,1,1425634202
73,0,0,0,46,42,1,1425634172
74,0,0,0,46,42,1,1425634142
75,0,0,0,46,42,1,1425634112
76,0,0,0,46,42,1,1425634082
77,0,0,0,46,42,1,1425634052
78,0,0,0,46,42,1,1425634022
79,0,0,0,46,42,1,1425633991
80,0,0,0,46,42,1,1425633962
81,0,0,0,46,42,1,1425633931
82,0,0,0,46,42,1,1425633902
83,0,0,0,46,42,1,1425633871
84,0,0,0,46,42,1,1425633841
85,0,0,0,46,42,1,1425633812
86,0,0,0,46,42,1,1425633782
87,0,0,0,46,42,1,1425633752
88,0,0,0,46,42,1,1425633722
89,0,0,0,46,42,1,1425633692
90,0,0,0,46,42,1,1425633662
91,0,0,0,46,42,1,1425633632
92,0,0,0,46,42,1,1425633602
93,0,0,0,46,42,1,1425633572
94,0,0,0,46,42,1,1425633542
95,0,0,0,46,42,1,1425633512
96,0,0,0,46,42,1,1425633482
97,0,0,0,46,42,1,1425633452
98,0,0,0,46,42,1,1425633422
99,0,0,0,46,42,1,1425633391
100,0,0,0,46,42,1,1425633361
101,0,0,0,46,42,1,1425633332
102,0,0,0,46,42,1,1425633302
103,0,0,0,46,42,1,1425633271
104,0,0,0,46,42,1,1425633241
105,0,0,0,46,42,1,1425633212
106,0,0,0,46,42,1,1425633182
107,0,0,0,46,42,1,1425633151
108,0,0,0,46,42,1,1425633122
109,0,0,0,46,42,1,1425633091
110,0,0,0,46,42,1,1425633061
111,0,0,0,46,42,1,1425633032
112,0,0,0,46,42,1,1425633002
113,0,0,0,46,42,1,1425632972
114,0,0,0,46,42,1,1425632942
115,0,0,0,46,42,1,1425632911
116,0,0,0,46,42,1,1425632881
